Compound,LogKp,Carboxylic acid,Ester,Ether,Amide,Amine,Ketone,Hydroxyl,Cl,Br,ring
2-Hydroxypropyl Nicotinate,-8.025,0,1,0,0,1,0,1,0,0,1
Benzyl nicotinate,-5.348,0,1,0,0,1,0,0,0,0,2
Butyl nicotinate,-5.335,0,1,0,0,1,0,0,0,0,1
Ethyl nicotinate,-5.755,0,1,0,0,1,0,0,0,0,1
Isonicotinic acid,-8.173,1,0,0,0,1,0,0,0,0,1
Methyl nicotinate,-6.046,0,1,0,0,1,0,0,0,0,1
Methyltriglycol nicotinate,-7.308,0,1,3,0,1,0,0,0,0,1
n-Hexyl nicotinate,-5.303,0,1,0,0,1,0,0,0,0,1
Triglycol nicotinate,-8.561,0,1,2,0,1,0,1,0,0,1
